User,dx,dy,Diversionx,Diversiony,type,distState,distArea,Month,Year,endOfMonUse,eoyForecast,approvedAnnualVol,forecastedExcess
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,1,2007,12000,221977,235295.62,-13318.62
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,1,2007,1026836,1330037,1330037,0
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,1,2007,200226,244908,415035,-170127
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,1,2007,103524,1242288,1229865.12,12422.88
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,1,2007,134115,1609380,1577192.4,32187.6
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,1,2007,180535,2166420,2123091.6,43328.4
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,1,2007,41314,495768,545344.8,-49576.8
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,1,2007,174357,2092284,2092284,0
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,1,2007,199645,2395740,2180123.4,215616.6
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,1,2007,31731,380772,388387.44,-7615.44
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,1,2007,166948,2003376,2083511.04,-80135.04
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,1,2007,151200,1814400,1705536,108864
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,1,2007,113922,1367064,1298710.8,68353.2
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,1,2007,41294,495528,480662.16,14865.84
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,1,2007,97506,1170072,1088166.96,81905.04
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,1,2007,28420,341040,351271.2,-10231.2
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,1,2007,175149,2101788,2122805.88,-21017.88
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,1,2007,179843,2158116,2136534.84,21581.16
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,1,2007,104599,1255188,1167324.84,87863.16
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,1,2007,140272,1683264,1615933.44,67330.56
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,1,2007,187727,2252724,2365360.2,-112636.2
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,1,2007,77077,924924,980419.44,-55495.44
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,1,2007,182377,2188524,2144753.52,43770.48
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,2,2007,82520,907720,853256.8,54463.2
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,2,2007,118579,1304369,1343500.07,-39131.07
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,2,2007,59939,659329,692295.45,-32966.45
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,2,2007,55776,613536,607400.64,6135.36
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,2,2007,48794,536734,590407.4,-53673.4
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,2,2007,39081,429891,416994.27,12896.73
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,2,2007,46666,513326,482526.44,30799.56
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,2,2007,186644,2053084,1950429.8,102654.2
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,2,2007,21687,238557,257641.56,-19084.56
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,2,2007,153016,1683176,1683176,0
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,2,2007,175630,1931930,2105803.7,-173873.7
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,2,2007,117996,1297956,1323915.12,-25959.12
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,2,2007,151564,1667204,1550499.72,116704.28
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,2,2007,89429,983719,885347.1,98371.9
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,2,2007,70494,775434,852977.4,-77543.4
