User,dx,dy,Diversionx,Diversiony,type,distState,distArea,Month,Year,Additional_Note,Diversion,ConsumptiveUse
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,1,2007,Pumped from Well,12000,221977
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,1,2007,Pumped from Reservoir,1026836,1330037
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,1,2007,Pumped from Well,200226,244908
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,1,2007,Pumped from Reservoir,103524,1242288
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,1,2007,Pumped from Well,134115,1609380
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,1,2007,Pumped from Reservoir,180535,2166420
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,1,2007,Pumped from Well,41314,495768
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,1,2007,Pumped from Reservoir,174357,2092284
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,1,2007,Pumped from Well,199645,2395740
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,1,2007,Pumped from Reservoir,31731,380772
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,1,2007,Pumped from Well,166948,2003376
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,1,2007,Pumped from Reservoir,151200,1814400
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,1,2007,Pumped from Well,113922,1367064
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,1,2007,Pumped from Reservoir,41294,495528
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,1,2007,Pumped from Well,97506,1170072
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,1,2007,Pumped from Reservoir,28420,341040
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,1,2007,Pumped from Well,175149,2101788
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,1,2007,Pumped from Reservoir,179843,2158116
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,1,2007,Pumped from Well,104599,1255188
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,1,2007,Pumped from Reservoir,140272,1683264
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,1,2007,Pumped from Well,187727,2252724
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,1,2007,Pumped from Reservoir,77077,924924
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,1,2007,Pumped from Well,182377,2188524
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,2,2007,Pumped from Reservoir,82520,907720
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,2,2007,Pumped from Well,118579,1304369
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,2,2007,Pumped from Reservoir,59939,659329
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,2,2007,Pumped from Well,55776,613536
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,2,2007,Pumped from Reservoir,48794,536734
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,2,2007,Pumped from Well,39081,429891
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,2,2007,Pumped from Reservoir,46666,513326
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,2,2007,Pumped from Well,186644,2053084
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,2,2007,Pumped from Reservoir,21687,238557
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,2,2007,Pumped from Well,153016,1683176
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,2,2007,Pumped from Reservoir,175630,1931930
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,2,2007,Pumped from Well,117996,1297956
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,2,2007,Pumped from Reservoir,151564,1667204
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,2,2007,Pumped from Well,89429,983719
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,2,2007,Pumped from Reservoir,70494,775434
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,2,2007,Pumped from Well,106770,1174470
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,2,2007,Pumped from Reservoir,138630,1524930
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,2,2007,Pumped from Well,180786,1988646
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,2,2007,Pumped from Reservoir,71683,788513
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,2,2007,Pumped from Well,122461,1347071
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,2,2007,Pumped from Reservoir,54038,594418
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,2,2007,Pumped from Well,42353,465883
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,2,2007,Pumped from Reservoir,74918,824098
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,3,2007,Pumped from Well,185858,1858580
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,3,2007,Pumped from Reservoir,177796,1777960
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,3,2007,Pumped from Well,198280,1982800
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,3,2007,Pumped from Reservoir,20184,201840
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,3,2007,Pumped from Well,174542,1745420
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,3,2007,Pumped from Reservoir,14553,145530
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,3,2007,Pumped from Well,178977,1789770
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,3,2007,Pumped from Reservoir,188712,1887120
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,3,2007,Pumped from Well,34981,349810
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,3,2007,Pumped from Reservoir,125937,1259370
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,3,2007,Pumped from Well,93739,937390
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,3,2007,Pumped from Reservoir,136604,1366040
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,3,2007,Pumped from Well,150701,1507010
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,3,2007,Pumped from Reservoir,46741,467410
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,3,2007,Pumped from Well,32498,324980
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,3,2007,Pumped from Reservoir,28917,289170
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,3,2007,Pumped from Well,125576,1255760
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,3,2007,Pumped from Reservoir,101060,1010600
