User,parameter,year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Bard Unit,Measured Returns,2012,26,30,47,27,32,68,97,144,86,108,94,6
Bard Unit,Unmeasured Returns,2012,438,571,960,"1,097",907,679,735,884,651,846,637,66
Bard Unit,Diversion,2012,"2,624","3,421","5,746","6,569","5,431","4,065","4,402","5,292","3,899","5,067","3,816",397
Bard Unit,Measured Returns,2013,37,36,44,67,70,65,79,50,68,61,56,54
Bard Unit,Unmeasured Returns,2013,455,434,903,"1,097",888,826,795,698,520,739,489,423
Bard Unit,Diversion,2013,"2,726","2,599","5,407","6,571","5,319","4,946","4,760","4,179","3,116","4,425","2,929","2,535"
Bard Unit,Measured Returns,2014,52,29,81,52,59,71,69,76,100,66,75,93
Bard Unit,Unmeasured Returns,2014,495,440,909,955,897,930,801,654,750,665,623,411
Bard Unit,Diversion,2014,"2,966","2,632","5,442","5,721","5,373","5,567","4,795","3,918","4,490","3,985","3,728","2,463"
Bard Unit,Measured Returns,2015,50,42,62,60,19,50,49,76,97,67,114,118
Bard Unit,Unmeasured Returns,2015,389,524,"1,013","1,089",895,587,543,651,596,711,636,476
Bard Unit,Diversion,2015,"2,331","3,136","6,065","6,518","5,362","3,517","3,251","3,900","3,566","4,257","3,807","2,851"
Bard Unit,Diversion,2016,1706,3124,5041,4927,4856,4673,6280,2397,4136,4341,3979,2249
Bard Unit,Measured Returns,2016,9,45,32,25,62,100,140,58,54,10,54,80
Bard Unit,Unmeasured Returns,2016,285,522,842,823,811,780,1049,400,691,725,664,376
Bullhead City,Diversion,2012,0,0,1,3,1,1,1,1,1,0,0,0
Bullhead City,Measured Returns,2012,0,0,0,0,0,0,0,0,0,0,0,0
Bullhead City,Unmeasured Returns,2012,207,173,242,231,307,302,338,330,307,248,247,190
Bullhead City,Consumptive Use,2012,420,350,490,470,623,614,686,669,624,503,502,385
Bullhead City,Diversion,2012,627,523,731,698,929,915,"1,023",998,930,751,749,575
Bullhead City,Diversion,2013,0,0,1,0,1,1,1,1,1,0,0,1
Bullhead City,Measured Returns,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bullhead City,Unmeasured Returns,2013,207,186,224,247,298,325,334,304,293,225,217,226
Bullhead City,Consumptive Use,2013,421,377,456,501,604,659,677,618,596,458,442,459
Bullhead City,Diversion,2013,628,563,679,748,901,983,"1,010",921,888,683,659,684
Bullhead City,Measured Returns,2014,0,0,0,0,0,0,0,0,0,0,0,0
Bullhead City,Diversion,2014,1,0,1,1,1,0,1,0,1,1,0,0
Bullhead City,Unmeasured Returns,2014,224,209,228,258,312,339,343,347,322,303,235,266
Bullhead City,Consumptive Use,2014,454,425,463,523,632,687,695,706,653,616,478,540
Bullhead City,Diversion,2014,677,634,690,780,943,"1,026","1,037","1,053",974,918,713,806
Bullhead City,Diversion,2015,0,0,2,1,1,2,2,1,2,1,0,0
Bullhead City,Measured Returns,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bullhead City,Unmeasured Returns,2015,208,197,244,273,295,296,304,318,302,263,228,202
Bullhead City,Consumptive Use,2015,423,399,494,554,600,602,617,646,612,533,462,409
Bullhead City,Diversion,2015,631,596,736,826,894,896,919,963,912,795,690,611
Bullhead City,Diversion,2016,608,774,548,763,804,976,996,1000,907,823,750,676
Bullhead City,Diversion,2016,0,1,1,1,1,1,1,1,1,1,1,0
Bullhead City,Measured Returns,2016,0,0,0,0,0,0,0,0,0,0,0,0
Bullhead City,Unmeasured Returns,2016,201,256,181,252,266,322,329,330,300,272,248,223
Bullhead City,Consumptive Use,2016,407,519,368,512,539,655,668,671,608,552,503,453
Central Arizona Project,Measured Returns,2012,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Unmeasured Returns,2012,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Diversion,2012,"186,564","168,959","187,497","179,531","179,210","129,951","34,437","85,226","136,910","31,581","173,912","132,284"
Central Arizona Project,Consumptive Use,2012,"186,564","168,959","187,497","179,531","179,210","129,951","34,437","85,226","136,910","31,581","173,912","132,284"
Central Arizona Project,Measured Returns,2013,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Unmeasured Returns,2013,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Diversion,2013,"79,888","146,879","179,730","148,444","174,238","129,487","80,301","95,266","149,252","186,039","143,877","137,866"
Central Arizona Project,Consumptive Use,2013,"79,888","146,879","179,730","148,444","174,238","129,487","80,301","95,266","149,252","186,039","143,877","137,866"
Central Arizona Project,Measured Returns,2014,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Unmeasured Returns,2014,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Diversion,2014,"84,467","130,265","176,237","177,897","183,603","133,051","92,532","99,382","140,046","134,799","146,606","131,792"
Central Arizona Project,Consumptive Use,2014,"84,467","130,265","176,237","177,897","183,603","133,051","92,532","99,382","140,046","134,799","146,606","131,792"
Central Arizona Project,Measured Returns,2015,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Unmeasured Returns,2015,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Diversion,2015,"180,492","109,441","146,368","154,414","177,030","77,195","70,484","69,587","167,508","115,253","120,080","130,170"
Central Arizona Project,Consumptive Use,2015,"180,492","109,441","146,368","154,414","177,030","77,195","70,484","69,587","167,508","115,253","120,080","130,170"
Central Arizona Project,Diversion,2016,155980,116971,122518,168623,176141,88596,74494,64682,133630,133167,140485,117864
Central Arizona Project,Measured Returns,2016,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Unmeasured Returns,2016,0,0,0,0,0,0,0,0,0,0,0,0
Central Arizona Project,Consumptive Use,2016,155980,116971,122518,168623,176141,88596,74494,64682,133630,133167,140485,117864
Chemehuevi Indian Reservation,Measured Returns,2012,0,0,0,0,0,0,0,0,0,0,0,0
Chemehuevi Indian Reservation,Unmeasured Returns,2012,6,6,6,6,7,9,8,7,6,6,6,5
Chemehuevi Indian Reservation,Consumptive Use,2012,7,7,7,7,8,10,9,9,8,8,7,5
Chemehuevi Indian Reservation,Diversion,2012,13,13,13,13,15,19,17,16,14,14,13,10
Chemehuevi Indian Reservation,Measured Returns,2013,0,0,0,0,0,0,0,0,0,0,0,0
Chemehuevi Indian Reservation,Unmeasured Returns,2013,9,5,7,8,9,11,13,11,9,8,7,6
Chemehuevi Indian Reservation,Consumptive Use,2013,11,6,8,9,11,13,15,12,11,10,9,8
Chemehuevi Indian Reservation,Diversion,2013,20,11,15,17,20,24,28,23,20,18,16,14
Chemehuevi Indian Reservation,Measured Returns,2014,0,0,0,0,0,0,0,0,0,0,0,0
Chemehuevi Indian Reservation,Unmeasured Returns,2014,6,4,8,8,11,15,15,15,8,8,9,7
Chemehuevi Indian Reservation,Consumptive Use,2014,6,5,10,10,12,17,17,18,9,10,10,8
Chemehuevi Indian Reservation,Diversion,2014,12,9,18,18,23,32,32,33,17,18,19,15
Chemehuevi Indian Reservation,Measured Returns,2015,0,0,0,0,0,0,0,0,0,0,0,0
Chemehuevi Indian Reservation,Unmeasured Returns,2015,6,5,7,6,11,12,9,12,6,5,5,18
Chemehuevi Indian Reservation,Consumptive Use,2015,6,6,8,8,12,13,11,14,8,6,5,22
Chemehuevi Indian Reservation,Diversion,2015,12,11,15,14,23,25,20,26,14,11,10,40
Chemehuevi Indian Reservation,Diversion,2016,14,12,14,15,26,30,18,30,28,25,13,19
Chemehuevi Indian Reservation,Measured Returns,2016,0,0,0,0,0,0,0,0,0,0,0,0
Chemehuevi Indian Reservation,Unmeasured Returns,2016,6,6,6,7,12,14,8,13,13,12,6,9
Chemehuevi Indian Reservation,Consumptive Use,2016,8,6,8,8,14,16,10,17,15,13,7,10
Cibola Valley I.D.D.,Measured Returns,2013,0,0,0,0,0,0,0,0,0,0,0,0
Cibola Valley I.D.D.,Unmeasured Returns,2013,34,105,351,260,296,342,243,215,219,136,1,86
Cibola Valley I.D.D.,Consumptive Use,2013,87,265,880,654,742,857,608,538,550,340,2,214
Cibola Valley I.D.D.,Diversion,2013,121,370,"1,231",914,"1,038","1,199",851,753,769,476,3,300
Cibola Valley I.D.D.,Measured Returns,2014,0,0,0,0,0,0,0,0,0,0,0,0
Cibola Valley I.D.D.,Unmeasured Returns,2014,219,232,304,204,312,390,338,228,222,177,209,185
Cibola Valley I.D.D.,Consumptive Use,2014,551,582,763,511,782,980,849,572,557,443,523,465
Cibola Valley I.D.D.,Diversion,2014,770,814,"1,067",715,"1,094","1,370","1,187",800,779,620,732,650
Cibola Valley I.D.D.,Measured Returns,2015,0,0,0,0,0,0,0,0,0,0,0,0
Cibola Valley I.D.D.,Unmeasured Returns,2015,78,259,298,428,276,254,364,378,260,161,145,108
Cibola Valley I.D.D.,Consumptive Use,2015,195,650,747,"1,075",693,636,913,948,652,403,363,270
Cibola Valley I.D.D.,Diversion,2015,273,909,"1,045","1,503",969,890,"1,277","1,326",912,564,508,378
Cibola Valley I.D.D.,Diversion,2016,300,308,623,2233,945,1310,1156,544,964,751,453,761
Cibola Valley I.D.D.,Measured Returns,2016,0,0,0,0,0,0,0,0,0,0,0,0
Cibola Valley I.D.D.,Unmeasured Returns,2016,86,88,178,636,269,373,329,155,275,214,129,217
Cibola Valley I.D.D.,Consumptive Use,2016,214,220,445,1597,676,937,827,389,689,537,324,544
City of Yuma,Unmeasured Returns,2012,3,4,12,23,31,36,33,32,24,11,4,2
City of Yuma,Diversion,2012,9,10,35,65,88,103,93,91,67,30,10,7
City of Yuma,Measured Returns,2012,854,817,847,714,749,767,840,836,844,875,844,886
City of Yuma,Diversion,2012,898,873,"1,003",538,591,583,483,544,484,477,607,558
