User,dx,dy,Diversionx,Diversiony,Type,Diversion,Description
Bard Unit,699103.7691,26754185.72,998719.6702,26754185.72,Majority pumped from Reservoir,Imperial Dam,"The Bard Water District, or Bard Unit, is located in southeastern California and includes almost 15,000 acres of irrigable land. The Bard Unit diverts its water from the All-American Canal, which is a diversion from the Colorado River at the Imperial Dam. "
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,Majority pumped from wells,Lake Mohave,"Bullhead City is a 40,000 acre city located north of the Mohave Valley in Arizona. The City pumps the majority of its water from groundwater wells near Lake Mohave. "
Central Arizona Project,2001077.088,27185290.41,1905787.703,27117496.67,Majority pumped from Reservoir,Lake Havasu,"The Central Arizona Project is canal system stretching 336 miles across Arizona, delivering water to several locationsin Maricopa, Pinal, and Pima Counties in Arizona. CAP diverts water from the Colorado River at Lake Havasu. "
Chemehuevi Indian Reservation,699103.7691,26486643.86,998719.6702,26754185.72,Majority pumped from wells and surface,Lake Havasu,"The Chemehuevi Indian Reservation is located in Havasu Lake, California, and is over 31,000 acres large. The Chemehuevi Tribe diverts the majority of its water from wells. "
Cibola Valley I.D.D.,1076498.022,26495712.85,936085.2364,26495712.85,Majority pumped from wells and surface,Palo Verde Dam,"The Cibola Valley Irrigation and Drainage District has been in operation for over 50 years. It is located in Arizona, across the Colorado River from Palo Verde, California, and is approximately 7,000 acres large. Cibola Valley IDD pumps the majority of its water diversions usings wells.  "
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,Majority pumped from Reservoir,Imperial Dam,"The City of Yuma is located in southwestern Arizona. The City boundary is nearly 80,000 acres. The City of Yuma diverts water from the Colorado River at the Imperial Dam. "
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,Majority pumped from wells and surface,Imperial Dam,"The Coachella Valley Water District is located in directly northwest of the Salton Sea in southeastern California and is nearly 650,000 acres large. The District pumps water from groundwater as its drinking water source, while pumping groundwater and diverting surface water from the Colorado River at the Imperial Dam for irrigation. "
Cocopah Indian Reservation,699103.7691,26352872.93,998719.6702,26754185.72,Majority pumped from wells and surface,Imperial Dam,"The Cocopah Indian Reservation is located south of Yuma in Arizona. The Reservation totals just over 5,000 acres and diverts its water from wells and the Imperial Dam. "
Colorado River Indian Reservation,699103.7691,26620414.79,998719.6702,26754185.72,Majority pumped from Reservoir,Headgate Rock Dam,"The Colorado River Indian Tribe Reservation is located in both California and Arizona, along the Colorado River between Lake Havasu City and Blythe. The Reservation is over 275,000 acres large and diverts its water from the Headgate Rock Dam. "
Fort Mojave Indian Reservation,1076498.022,26363234.29,936085.2364,26495712.85,Majority pumped from wells and surface,Lake Havasu,"The Fort Mojave Indian Tribe is located in the Mohave Valley and is over 20,000 acres large. The Reservation borders with the Mohave Valley I.D.D. and both pumps water from wells and diverts surface water from Lake Havasu. "
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,Majority pumped from Reservoir,Imperial Dam,"The Imperial Irrigation District is in southeastern California along the Mexican border. The District is nearly 100,000 acres and diverts its water from the Imperial Dam. "
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,Majority pumped from wells,Lake Havasu,"Lake Havasu City is approximately 30,000 acres large and located in Arizona along the Colorado River. The City pumps the majority of its water from groundwater wells. "
