User,dx,dy,Diversionx,Diversiony,Type,Diversion,Description,x,y,d
Colorado River Indian Reservation,1172486.567,25877855.74,1051211.66,26037589.87,Majority pumped from Reservoir,Headgate Rock Dam,"The Colorado River Indian Tribe Reservation is located in both California and Arizona, along the Colorado River between Lake Havasu City and Blythe. The Reservation is over 275,000 acres large and diverts its water from the Headgate Rock Dam. ",,,done
Bard Unit,699103.7691,25572579.84,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The Bard Water District, or Bard Unit, is located in southeastern California and includes almost 15,000 acres of irrigable land. The Bard Unit diverts its water from the All-American Canal, which is a diversion from the Colorado River at the Imperial Dam. ",keep dx,xx,
City of Yuma,1905787.703,26405193.45,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The City of Yuma is located in southwestern Arizona. The City boundary is nearly 80,000 acres. The City of Yuma diverts water from the Colorado River at the Imperial Dam. ",keep dx,x,done
Coachella Valley Water District,699103.7691,25711348.78,1001700.18,25572579.84,Majority pumped from wells and surface,Imperial Dam,"The Coachella Valley Water District is located in directly northwest of the Salton Sea in southeastern California and is nearly 650,000 acres large. The District pumps water from groundwater as its drinking water source, while pumping groundwater and diverting surface water from the Colorado River at the Imperial Dam for irrigation. ",keep dx,xx,
Cocopah Indian Reservation,699103.7691,25850117.71,1001700.18,25572579.84,Majority pumped from wells and surface,Imperial Dam,"The Cocopah Indian Reservation is located south of Yuma in Arizona. The Reservation totals just over 5,000 acres and diverts its water from wells and the Imperial Dam. ",keep dx,xx,
Imperial Irrigation District,699103.7691,25988886.65,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The Imperial Irrigation District is in southeastern California along the Mexican border. The District is nearly 100,000 acres and diverts its water from the Imperial Dam. ",keep dx,xx,
North Gila Valley I.D.D.,1905787.703,26266424.52,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The North Gila Valley I.D.D. is located in southwestern Arizona and lies directly north of the Yuma I.D.D. The District is nearly 8,000 acres and diverts water from the Colorado River at the Imperial Dam. ",keep dx,x,done
Unit 'B' I.D.D.,1905787.703,26127655.58,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"Unit 'B' Irrigation and Drainage District is located in southwestern Arizona, adjacent to the Yuma County WUA and Yuma Mesa I.D.D. The District is 3,300 acres large and diverts the majority of its water from the Colorado River at the Imperial Dam. ",keep dx,x,done
Wellton-Mohawk I.D.D.,1905787.703,25988886.65,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The Wellton-Mohawk I.D.D. is located in southwestern Arizona, east of Yuma. The District is over 125,000 large and diverts water from the Colorado River at the Imperial Dam. ",keep dx,x,done
Yuma County WUA,1905787.703,25572579.84,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"Yuma County Water Users' Association is located in southwestern Arizona and covers almost 60,000 acres. The Associaton diverts the majority of its water from the Colorado River at the Imperial Dam. ",keep dx,x,done
Yuma Irrigation District,1905787.703,25711348.78,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The Yuma Irrigation and Drainage District is located in southwestern Arizona and lies north of the Yuma Mesa I.D.D. The District is 14,000 acres and diverts water from the Colorado River at the Imperial Dam. ",keep dx,x,done
Yuma Mesa I.D.D.,1905787.703,25850117.71,1001700.18,25572579.84,Majority pumped from Reservoir,Imperial Dam,"The Yuma Mesa Irrigation and Drainage District is located in southwestern Arizona adjecent to the Unit 'B' Irrigation District and the Yuma Irrigation District. It is over 55,000 acres and diverts water from the Colorado River at the Imperial Dam.",keep dx,x,done
