User,month,year,parameter,value,NormValue,PlotValue,alpha,UserNorm,UserNormValue,MoYear,dx,dy
Bard Unit,1,2012,Diversion,2624,0.399330391112464,0.399330391112464,0.5,0.399330391112464,0.399330391112464,2012-01-01,699103.7691,25572579.84
Bullhead City,1,2012,Diversion,627,0.543798785776236,0.543798785776236,0.5,0.543798785776236,0.543798785776236,2012-01-01,699103.7691,26543962.39
Central Arizona Project,1,2012,Diversion,186564,0.995023920382726,0.995023920382726,0.5,0.995023920382726,0.995023920382726,2012-01-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,1,2012,Diversion,13,0.325,0.325,0.5,0.325,0.325,2012-01-01,1424007.529,26543962.39
Cibola Valley I.D.D.,1,2012,Diversion,NA,NA,0.368758396775638,0.5,NA,0.368758396775638,2012-01-01,699103.7691,26335808.99
City of Yuma,1,2012,Diversion,1909,0.769758064516129,0.769758064516129,0.5,0.769758064516129,0.769758064516129,2012-01-01,1905787.703,26405193.45
Coachella Valley Water District,1,2012,Diversion,16517,0.390694483867916,0.390694483867916,0.5,0.390694483867916,0.390694483867916,2012-01-01,699103.7691,25711348.78
Cocopah Indian Reservation,1,2012,Diversion,178,0.11125,0.11125,0.5,0.11125,0.11125,2012-01-01,699103.7691,25850117.71
Colorado River Indian Reservation,1,2012,Diversion,31071,0.38779611093083,0.38779611093083,0.5,0.38779611093083,0.38779611093083,2012-01-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,1,2012,Diversion,3445,0.230496453900709,0.230496453900709,0.5,0.230496453900709,0.230496453900709,2012-01-01,1424007.529,26266424.52
Imperial Irrigation District,1,2012,Diversion,146018,0.436415260696086,0.436415260696086,0.5,0.436415260696086,0.436415260696086,2012-01-01,699103.7691,25988886.65
Lake Havasu City,1,2012,Diversion,849,0.633582089552239,0.633582089552239,0.5,0.633582089552239,0.633582089552239,2012-01-01,1424007.529,26682731.33
Met. Water District of So. Cal.,1,2012,Diversion,NA,NA,0.712419748900305,0.5,NA,0.712419748900305,2012-01-01,1424007.529,26405193.45
Mohave Valley I.D.D.,1,2012,Diversion,981,0.197067095218963,0.197067095218963,0.5,0.197067095218963,0.197067095218963,2012-01-01,1172486.567,26495712.85
North Gila Valley I.D.D.,1,2012,Diversion,2563,0.429457104557641,0.429457104557641,0.5,0.429457104557641,0.429457104557641,2012-01-01,1905787.703,26266424.52
Palo Verde Irrigation District,1,2012,Diversion,31670,0.269531914893617,0.269531914893617,0.5,0.269531914893617,0.269531914893617,2012-01-01,699103.7691,26197040.05
